bs_id,order_id,rf_band,planning_spec_id,bs_id_branch,site_id,project_id,project_name,order_sts_name,order_type_name,takumi_system_number,point_number,base_number,base_nm,base_kind_nm,service_nm,area_cd_nm,setting_property_kind,randv_flg_name,in_out_cls_name,cont_cls_name,lte_com_start_date,df_apply_date,laying_possible_date,construct_comp_date,laying_date,hq_process_info1,hq_process_info2,atoll_name_umts,longitude_jgd,latitude_jgd,atoll_equip,atoll_gathered_25_bs_id,bbt_code_add_dfgc,bb_name_add_dfgc,wcdma_rf_quant,atoll_vendor_area,process_link_order_id,article_remove_plan_date,atoll_gathered_19_bs_id,area_additional_date,area_common_id,atoll_gathered_35_bs_id,idm_kind,idm_floor_name,idm_floor_part,idm_no,idm_stage,idm_column,idm_port,const_planning_date,const_state,const_date,pre_housing_design_date,bbt_code_housing_gc,bb_name_housing_gc,rep_df_flag,ntt_inspec_date,project_internal_group_1,project_internal_group_2,minamoto_coop_flg,ema_key,bbt_reset_date,crisis_area_flg,pp_add_dfgc,pp_port_add_dfgc,pp_housing_gc,bbu_hozen_sys_no,tdd_nbsp_no,rf_001_result,rf_020_result,gps_result,const_no_bbu,const_planning_date_bbu,const_state_bbu,const_date_bbu,rep_lock_period_start,rep_lock_period_finish,df1_const_type,df1_idm_open_date,df1_idm_open_state,df1_df_apply_date,df1_area_design_upd_date,df1_const_no_idm,df1_const_no,df1_const_planning_date,df1_const_state,df1_const_date,df1_com_confirm_date,df1_connect_date,df2_const_type,df2_idm_open_date,df2_idm_open_state,df2_df_apply_date,df2_area_design_upd_date,df2_const_no_idm,df2_const_no,df2_const_planning_date,df2_const_state,df2_const_date,df2_com_confirm_date,df2_connect_date,remarks,area_design_update_date,area_design_update_user,delete_flg,create_date,create_user,update_date,update_user,version_no,bbu_sys,bbu_no,bbu_bord,bbu_port,idm_terminal_no,df_data_1,df_data_2,fms_port_id,gc_floor_add_dfgc,rack_name_add_dfgc,pp_column_add_dfgc,gc_floor_housing_gc,rack_name_housing_gc,pp_column_housing_gc,pp_port_housing_gc,comments_for_gc
KY-06341_1,R001666971,1.7GHz-NR,10225409,,S270045477,0000002655,Pre5G,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,FY20,1.7G,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-12 07:05:03.561,礎工程情報連携,0,2021-04-28 07:17:35.899,GC_BATCH_002,2021-05-12 07:05:03.561,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001666971,1.7GHz-LTE,1556160,1,S270045477,0000002655,Pre5G,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,FY20,1.7G,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,2021/1/4,完了,2021/1/4,,,,,,,,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-05 17:11:16,280580,0,2019-08-01 12:17:45,145,2021-05-12 07:05:03.46,GC_BATCH_002,393,,,,,,,,,,,,,,,,
KY-06341_1,R001925080,1.7GHz-LTE,10053277,,S270045477,0000002640,FY18需要増,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,2021/03/23,,対象外,,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2020/10/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-23 06:22:36.534,礎工程情報連携,0,2020-10-23 06:22:36.534,GC_BATCH_002,2021-05-12 07:05:03.387,GC_BATCH_002,189,,,,,,,,,,,,,,,,
KY-06341_1,R001429030,1.7GHz-LTE,862794,1,S270045477,0000002640,FY18需要増,完了,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,2021/03/31,2019/04/25,,2019/06/21,,,C-RAN,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,Huawei,,,,,,,IDM-B,4,A,4,4,60,11,,,,2019/03/19 13:34:08,43-089,泉佐野,,,,,有,,,,,,,1039994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07 08:27:56,,0,2018-07-14 12:05:12,145,2021-05-12 07:05:03.408,GC_BATCH_002,392,,,,,,,,,,,,,,,,
KY-06341_1,R001801185,1.7GHz-NR,10225416,,S270045477,0000002655,Pre5G,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,2021/01/06,,,,FY20,1.7G,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,WDM,S幹事,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-12 07:05:03.341,礎工程情報連携,0,2021-04-28 07:17:36.04,GC_BATCH_002,2021-05-12 07:05:03.341,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R002062375,1.7GHz-LTE,10225417,,S270045477,0000002648,需要増(FD),進行中,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,2021/04/30,,FY20（小舟4月）,,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28 07:17:36.077,礎工程情報連携,0,2021-04-28 07:17:36.077,GC_BATCH_002,2021-05-12 07:05:03.325,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001547280,1.7GHz-NR,10225412,,S270045477,0000002600,FDクラウド,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,対象外,C-RAN,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28 07:17:35.964,礎工程情報連携,0,2021-04-28 07:17:35.964,GC_BATCH_002,2021-05-12 07:05:03.496,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001550911,1.7GHz-NR,10225411,,S270045477,0000002603,1.7GHz ベンダーSWAP,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,2019/04/25,,,,対象外,C-RAN,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28 07:17:35.945,礎工程情報連携,0,2021-04-28 07:17:35.945,GC_BATCH_002,2021-05-12 07:05:03.519,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001429030,1.7GHz-NR,10225410,,S270045477,0000002640,FY18需要増,完了,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,2021/03/31,2019/04/25,,2019/06/21,,,C-RAN,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-12 07:05:03.306,礎工程情報連携,0,2021-04-28 07:17:35.923,GC_BATCH_002,2021-05-12 07:05:03.306,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R002034828,1.7GHz-LTE,10131520,,S270045477,0000002655,Pre5G,進行中,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,FY20,1.7G,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/03/26,,,,,,SBサイト,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-11 07:04:00.904,礎工程情報連携,0,2021-03-26 06:43:51.568,GC_BATCH_002,2021-05-12 07:05:03.266,GC_BATCH_002,47,,,,,,,,,,,,,,,,
KY-06341_1,R001550911,1.7GHz-LTE,974684,1,S270045477,0000002603,1.7GHz ベンダーSWAP,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,2019/04/25,,,,対象外,C-RAN,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,Huawei,,,,,,,,,,,,,,,,,,,,,,,,無,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-09 16:44:13,,0,2019-04-16 12:06:17,145,2021-05-12 07:05:03.426,GC_BATCH_002,392,,,,,,,,,,,,,,,,
KY-06341_1,R001547280,1.7GHz-LTE,973448,1,S270045477,0000002600,FDクラウド,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,対象外,C-RAN,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,Huawei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-09 16:44:13,,0,2019-04-09 12:52:12,145,2021-05-12 07:05:03.444,GC_BATCH_002,392,,,,,,,,,,,,,,,,
KY-06341_1,R002062375,1.7GHz-NR,10225415,,S270045477,0000002648,需要増(FD),進行中,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,2021/04/30,,FY20（小舟4月）,,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28 07:17:36.02,礎工程情報連携,0,2021-04-28 07:17:36.02,GC_BATCH_002,2021-05-12 07:05:03.54,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001801185,1.7GHz-LTE,10019888,,S270045477,0000002655,Pre5G,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,2021/01/06,,,,FY20,1.7G,KI_L17GＹｍ関空南_D002388252_MR,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,Ericsson,,,,,,,IDM-B,4,A,0010,2,30,1,2021/4/23,,,2020/07/01,43-089,泉佐野,,,WDM,S幹事,有,,,,IDM-TIE 320芯PP#1,1,,1256261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-11 07:04:00.924,278082,0,2020-07-01 06:18:08.866,GC_BATCH_002,2021-05-12 07:05:03.478,GC_BATCH_002,463,,,,,1473,,,,3,SBM5-A,2,,,,,
KY-06341_1,R002034828,1.7GHz-NR,10225413,,S270045477,0000002655,Pre5G,進行中,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,,,FY20,1.7G,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,SBサイト,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-12 07:05:03.359,礎工程情報連携,0,2021-04-28 07:17:35.982,GC_BATCH_002,2021-05-12 07:05:03.359,GC_BATCH_002,15,,,,,,,,,,,,,,,,
KY-06341_1,R001925080,1.7GHz-NR,10225414,,S270045477,0000002640,FY18需要増,中止,基本工程（詳細工程）,B57685,,KY-06341,Ｙｍ関空南,無線機,1.7G,関西,他社鉄塔,無,屋外,eA,,,,2021/03/23,,対象外,,KI_N17GＹｍ関空南,135.226714,34.426487,Ericsson(DUL),,43-089,泉佐野,15MHz,,,,,,,,,,,,,,,,,,2021/04/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28 07:17:36,礎工程情報連携,0,2021-04-28 07:17:36,GC_BATCH_002,2021-05-12 07:05:03.284,GC_BATCH_002,15,,,,,,,,,,,,,,,,
(16 rows)
